Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
41,1k,16,TP_DRL,3,246,86,8,0,0,2544.568093430034,20.497433554777498,1209896.620879908,238426.0303543942,0.0,238426.0303543942,0.0,0.0417432514964606
42,1k,16,TP_DRL,3,264,87,7,0,0,2597.2317416937094,20.67341012149265,1202613.8753227424,243360.61419670057,0.0,243360.61419670057,0.0,0.0356438662969365
43,1k,16,TP_DRL,3,276,79,9,0,0,2597.2317759562843,20.886478878400357,1198071.210330834,243360.61740710383,0.0,243360.61740710383,0.0,0.0342208589403766
44,1k,16,TP_DRL,3,255,73,8,0,0,2548.718963737201,19.24872198239976,1206552.3941976076,238814.96690217577,0.0,238814.96690217577,0.0,0.0485552050383775
45,1k,16,TP_DRL,3,246,71,9,0,0,2540.0,19.374970653792207,1215383.6953348396,237998.0,0.0,237998.0,0.0,0.0537094543806276
46,1k,16,TP_DRL,3,242,81,10,0,0,2597.231712494638,20.463122675685664,1226620.9388475383,243360.6114607476,0.0,243360.6114607476,0.0,0.0465010639128674
47,1k,16,TP_DRL,3,262,97,12,0,0,2597.2318415300547,21.14861263964633,1191508.3923483903,243360.6235513661,0.0,243360.6235513661,0.0,0.0241103525238384
48,1k,16,TP_DRL,3,253,86,3,0,0,2548.718963737201,20.180775233711785,1205091.6491982716,238814.96690217577,0.0,238814.96690217577,0.0,0.0478339648084734
49,1k,16,TP_DRL,3,268,76,9,0,0,2548.718963737201,19.94891591380057,1192976.9007157085,238814.96690217577,0.0,238814.96690217577,0.0,0.0421128037625423
50,1k,16,TP_DRL,3,265,74,9,0,0,2597.231748799399,19.72501027631066,1204597.655875909,243360.6148625037,0.0,243360.6148625037,0.0,0.0454583370494392
51,1k,16,TP_DRL,3,279,88,8,0,0,2548.718963737201,20.96359509571063,1176620.4248756797,238814.96690217577,0.0,238814.96690217577,0.0,0.0304776616348326
52,1k,16,TP_DRL,3,250,89,11,0,0,2548.718963737201,20.254863197754865,1199153.3363293677,238814.96690217577,0.0,238814.96690217577,0.0,0.0361043326856599
53,1k,16,TP_DRL,3,238,91,12,0,0,2540.0,19.78613775655308,1202669.7462158657,237998.0,0.0,237998.0,0.0,0.0388790448056806
54,1k,16,TP_DRL,3,269,89,9,0,0,2597.2317754970254,20.55103428676169,1191180.4102352918,243360.61736407128,0.0,243360.61736407128,0.0,0.0312512348504541
55,1k,16,TP_DRL,3,242,87,8,0,0,2597.231738844905,21.151710316612,1229635.2239164796,243360.6139297677,0.0,243360.6139297677,0.0,0.0415468884460473
56,1k,16,TP_DRL,3,275,81,7,0,0,2597.231805267256,20.155340154450084,1192585.3564278793,243360.62015354188,0.0,243360.62015354188,0.0,0.0383897997565025
57,1k,16,TP_DRL,3,246,79,10,0,0,2597.231732240437,20.310136526937725,1225238.6339185345,243360.6133109289,0.0,243360.6133109289,0.0,0.0460185494472821
58,1k,16,TP_DRL,3,259,97,8,0,0,2597.2318142076506,20.97807266057125,1197569.0385941693,243360.62099125687,0.0,243360.62099125687,0.0,0.0292846712003669
59,1k,16,TP_DRL,3,237,74,10,0,0,2548.718963737201,20.11592112583278,1227849.0774668767,238814.96690217577,0.0,238814.96690217577,0.0,0.0520820305395236
60,1k,16,TP_DRL,3,231,72,7,0,0,2597.231732240437,20.358899998723647,1251220.4756965393,243360.6133109289,0.0,243360.6133109289,0.0,0.0570290396884403
61,1k,16,TP_DRL,3,245,73,9,0,0,2597.231732240437,19.505140051985823,1226506.6613546012,243360.6133109289,0.0,243360.6133109289,0.0,0.0520071361684
62,1k,16,TP_DRL,3,247,75,6,0,0,2540.0,19.345685041044405,1211722.5264444794,237998.0,0.0,237998.0,0.0,0.0555074431097515
63,1k,16,TP_DRL,3,219,77,8,0,0,2597.231732240437,19.860392459576044,1255384.947238949,243360.6133109289,0.0,243360.6133109289,0.0,0.0574296720071654
64,1k,16,TP_DRL,3,253,71,8,0,0,2597.231732240437,19.615209689803866,1220815.5354568108,243360.6133109289,0.0,243360.6133109289,0.0,0.0518008104122644
65,1k,16,TP_DRL,3,226,83,10,0,0,2544.568093430034,19.368574495785754,1223178.4325585754,238426.0303543942,0.0,238426.0303543942,0.0,0.0513484962251803
66,1k,16,TP_DRL,3,258,87,10,0,0,2597.2317426798336,20.56410915228391,1203696.4332984495,243360.61428910043,0.0,243360.61428910043,0.0,0.0353437968647661
67,1k,16,TP_DRL,3,261,78,9,0,0,2597.2317421529683,19.11359841473112,1200650.3678672295,243360.6142397332,0.0,243360.6142397332,0.0,0.043109292841348
68,1k,16,TP_DRL,3,252,88,9,0,0,2544.568093430034,19.5796728615415,1192582.4176846514,238426.0303543942,0.0,238426.0303543942,0.0,0.037203666523453
69,1k,16,TP_DRL,3,253,78,7,0,0,2548.718963737201,19.71194427289276,1206703.848953033,238814.96690217577,0.0,238814.96690217577,0.0,0.0492744550218949
70,1k,16,TP_DRL,3,236,70,11,0,0,2548.718963737201,18.30626990422361,1217504.9888063762,238814.96690217577,0.0,238814.96690217577,0.0,0.0579385144840647
71,1k,16,TP_DRL,3,248,89,8,0,0,2597.231738844905,20.2299260901078,1212796.4462189917,243360.6139297677,0.0,243360.6139297677,0.0,0.0382561355423926
72,1k,16,TP_DRL,3,251,80,10,0,0,2548.718963737201,19.85159691176866,1204284.51386702,238814.96690217577,0.0,238814.96690217577,0.0,0.0444630952130476
73,1k,16,TP_DRL,3,229,66,4,0,0,2597.231732240437,18.14120609080634,1244440.3785718773,243360.6133109289,0.0,243360.6133109289,0.0,0.0709128886002691
74,1k,16,TP_DRL,3,260,78,6,0,0,2548.718963737201,20.421478081213976,1206484.5142914131,238814.96690217577,0.0,238814.96690217577,0.0,0.0467306571424467
75,1k,16,TP_DRL,3,262,82,9,0,0,2597.231738844905,20.198551031735807,1205727.462428649,243360.6139297677,0.0,243360.6139297677,0.0,0.0376599288999605
76,1k,16,TP_DRL,3,236,57,8,0,0,2597.2317460601653,19.922903746776427,1257128.3850091668,243360.6146058375,0.0,243360.6146058375,0.0,0.0671273127410501
77,1k,16,TP_DRL,3,245,78,9,0,0,2548.718963737201,20.240161396920524,1215589.9543571018,238814.96690217577,0.0,238814.96690217577,0.0,0.048399754829821
78,1k,16,TP_DRL,3,215,70,10,0,0,2597.2317426798336,19.735698747994476,1261535.9120142013,243360.61428910043,0.0,243360.61428910043,0.0,0.0633167626501017
79,1k,16,TP_DRL,3,259,75,9,0,0,2540.0,19.41657137519964,1197445.379451054,237998.0,0.0,237998.0,0.0,0.0467722790317517
80,1k,16,TP_DRL,3,254,76,8,0,0,2548.718963737201,19.7458818862134,1208496.117933106,238814.96690217577,0.0,238814.96690217577,0.0,0.0487235820955484
81,1k,16,TP_DRL,3,239,79,10,0,0,2548.718963737201,18.267712471486835,1205274.9812712783,238814.96690217577,0.0,238814.96690217577,0.0,0.0525160065513861
82,1k,16,TP_DRL,3,254,68,10,0,0,2548.718963737201,19.181200203403577,1208299.00848623,238814.96690217577,0.0,238814.96690217577,0.0,0.0525853990611589
83,1k,16,TP_DRL,3,223,71,8,0,0,2597.231748799399,19.03125995924222,1248133.194577325,243360.6148625037,0.0,243360.6148625037,0.0,0.0633058076480911
84,1k,16,TP_DRL,3,226,65,6,0,0,2548.718963737201,19.273963875691525,1247878.0550363369,238814.96690217577,0.0,238814.96690217577,0.0,0.067315611729174
85,1k,16,TP_DRL,3,251,77,6,0,0,2597.2317408358044,18.862295570773867,1212720.5902193128,243360.6141163149,0.0,243360.6141163149,0.0,0.0504003953077598
86,1k,16,TP_DRL,3,234,68,7,0,0,2597.2317455332995,19.2756639989969,1244088.6199256978,243360.6145564702,0.0,243360.6145564702,0.0,0.0617502899532462
87,1k,16,TP_DRL,3,220,81,10,0,0,2597.231732240437,19.18666140220551,1240657.246201142,243360.6133109289,0.0,243360.6133109289,0.0,0.0540935758866733
88,1k,16,TP_DRL,3,246,77,7,0,0,2597.2317426798336,19.211691104478952,1221244.4734144113,243360.61428910043,0.0,243360.61428910043,0.0,0.0494178205952592
89,1k,16,TP_DRL,3,244,80,8,0,0,2597.2317455332995,19.103362203948578,1217567.4500054931,243360.6145564702,0.0,243360.6145564702,0.0,0.0480037132208542
90,1k,16,TP_DRL,3,242,67,5,0,0,2597.2317193205768,20.19316202203692,1244499.714969459,243360.61210033804,0.0,243360.61210033804,0.0,0.0608058386997367
91,1k,16,TP_DRL,3,226,79,7,0,0,2597.2317193205768,18.910814640362908,1237761.3361311124,243360.61210033804,0.0,243360.61210033804,0.0,0.0574962761278086
92,1k,16,TP_DRL,3,231,73,10,0,0,2597.231732240437,19.765234921598392,1243888.0661611222,243360.6133109289,0.0,243360.6133109289,0.0,0.0545174244646236
93,1k,16,TP_DRL,3,238,65,10,0,0,2597.231732240437,19.369685042791502,1240319.861868098,243360.6133109289,0.0,243360.6133109289,0.0,0.0591002531917013
94,1k,16,TP_DRL,3,231,71,6,0,0,2548.718963737201,18.597998374505902,1230261.580680133,238814.96690217577,0.0,238814.96690217577,0.0,0.0643074431860663
95,1k,16,TP_DRL,3,236,77,9,0,0,2597.2317193205768,18.66302270790547,1224402.0358448576,243360.61210033804,0.0,243360.61210033804,0.0,0.0539933277990643
96,1k,16,TP_DRL,3,254,79,7,0,0,2548.718963737201,18.675038732221463,1196701.8450153426,238814.96690217577,0.0,238814.96690217577,0.0,0.0484783663109641
97,1k,16,TP_DRL,3,262,73,10,0,0,2548.718963737201,18.820283876708533,1192544.7425669164,238814.96690217577,0.0,238814.96690217577,0.0,0.0467176216524209
98,1k,16,TP_DRL,3,245,73,5,0,0,2548.718963737201,18.393827443451485,1210665.0223903898,238814.96690217577,0.0,238814.96690217577,0.0,0.0582740307019505
99,1k,16,TP_DRL,3,239,74,7,0,0,2597.2317450740406,19.31645408686114,1232403.787548819,243360.6145134376,0.0,243360.6145134376,0.0,0.0556995896342476
100,1k,16,TP_DRL,3,229,66,6,0,0,2597.2317193205768,19.34862147337341,1253415.556595782,243360.61210033804,0.0,243360.61210033804,0.0,0.0641019667901723
101,1k,16,TP_DRL,3,227,72,9,0,0,2597.231732240437,19.84534917078472,1249837.8824233213,243360.6133109289,0.0,243360.6133109289,0.0,0.0566546221171489
102,1k,16,TP_DRL,3,246,72,6,0,0,2548.718963737201,19.277006442785417,1219111.5007205508,238814.96690217577,0.0,238814.96690217577,0.0,0.0543308221221163
103,1k,16,TP_DRL,3,260,79,8,0,0,2540.0,18.77171017925225,1189561.9043991272,237998.0,0.0,237998.0,0.0,0.0447364774592843
104,1k,16,TP_DRL,3,236,80,9,0,0,2597.2317416937094,19.561342248336683,1227513.2375593432,243360.61419670057,0.0,243360.61419670057,0.0,0.0498611937322492
105,1k,16,TP_DRL,3,231,76,7,0,0,2597.231712494638,20.066048186264496,1243242.065249417,243360.6114607476,0.0,243360.6114607476,0.0,0.0556351726338343
106,1k,16,TP_DRL,3,222,71,5,0,0,2597.2317450740406,18.898278269068225,1252170.2771356562,243360.6145134376,0.0,243360.6145134376,0.0,0.0672309702257099
107,1k,16,TP_DRL,3,252,81,8,0,0,2597.231748799399,19.4142171655024,1212353.3868082652,243360.6148625037,0.0,243360.6148625037,0.0,0.045372392395723
108,1k,16,TP_DRL,3,235,74,10,0,0,2548.718963737201,20.08212510979641,1229735.2286138674,238814.96690217577,0.0,238814.96690217577,0.0,0.0528464913362855
109,1k,16,TP_DRL,3,219,70,9,0,0,2597.2317193205768,18.557621010265034,1250644.802389406,243360.61210033804,0.0,243360.61210033804,0.0,0.0640783523953225
110,1k,16,TP_DRL,3,228,71,9,0,0,2548.718963737201,18.797944328621703,1231709.4447890318,238814.96690217577,0.0,238814.96690217577,0.0,0.0609247708859704
111,1k,16,TP_DRL,3,229,67,6,0,0,2548.718963737201,18.75345573353179,1237211.8356218275,238814.96690217577,0.0,238814.96690217577,0.0,0.0637665746676659
112,1k,16,TP_DRL,3,234,72,9,0,0,2548.718963737201,18.86970294158651,1225753.5231646253,238814.96690217577,0.0,238814.96690217577,0.0,0.0582823755535299
113,1k,16,TP_DRL,3,226,74,9,0,0,2548.718963737201,18.526672361795622,1228365.0999592345,238814.96690217577,0.0,238814.96690217577,0.0,0.0599224543284932
114,1k,16,TP_DRL,3,229,76,5,0,0,2548.718963737201,18.61593696537312,1228626.5067976145,238814.96690217577,0.0,238814.96690217577,0.0,0.0611157501919032
115,1k,16,TP_DRL,3,239,68,10,0,0,2597.231732240437,19.62672323784549,1239087.059570327,243360.6133109289,0.0,243360.6133109289,0.0,0.0565362980704646
116,1k,16,TP_DRL,3,248,72,7,0,0,2597.2317193205768,18.82853669877228,1220898.6161735968,243360.61210033804,0.0,243360.61210033804,0.0,0.0549919634742195
117,1k,16,TP_DRL,3,226,70,8,0,0,2597.2317421529683,19.417858047790403,1252152.676143701,243360.6142397332,0.0,243360.6142397332,0.0,0.0611485646506218
118,1k,16,TP_DRL,3,227,73,6,0,0,2597.231732240437,19.578027901721647,1248778.5216070677,243360.6133109289,0.0,243360.6133109289,0.0,0.0621851274243071
119,1k,16,TP_DRL,3,233,75,6,0,0,2597.2317416937094,19.450725228256584,1240644.2334237683,243360.61419670057,0.0,243360.61419670057,0.0,0.0580291440779339
120,1k,16,TP_DRL,3,232,71,11,0,0,2597.2317450740406,19.555271995478133,1240373.2113181197,243360.6145134376,0.0,243360.6145134376,0.0,0.0554054876317102
121,1k,16,TP_DRL,3,241,71,7,0,0,2548.718963737201,19.437106202672656,1225746.4137207705,238814.96690217577,0.0,238814.96690217577,0.0,0.056048465032273
122,1k,16,TP_DRL,3,242,63,9,0,0,2597.231744712695,18.633939184680777,1232615.0139275554,243360.6144795796,0.0,243360.6144795796,0.0,0.0624862811990402
123,1k,16,TP_DRL,3,230,76,6,0,0,2548.718963737201,18.997837218069773,1230338.1354146972,238814.96690217577,0.0,238814.96690217577,0.0,0.0576457257948115
124,1k,16,TP_DRL,3,228,79,8,0,0,2548.718963737201,19.51155498124168,1229274.7926893693,238814.96690217577,0.0,238814.96690217577,0.0,0.056121926932487
125,1k,16,TP_DRL,3,228,78,8,0,0,2597.231738844905,19.57665582654522,1241454.9015906192,243360.6139297677,0.0,243360.6139297677,0.0,0.0536246787857508
126,1k,16,TP_DRL,3,247,81,10,0,0,2548.718963737201,19.87613302482462,1209672.1678009203,238814.96690217577,0.0,238814.96690217577,0.0,0.042979474254468
127,1k,16,TP_DRL,3,248,70,5,0,0,2548.718963737201,19.00023511121392,1217356.9412409267,238814.96690217577,0.0,238814.96690217577,0.0,0.0582925908919092
128,1k,16,TP_DRL,3,239,73,9,0,0,2597.2317193205768,18.637930366511394,1226227.7175920089,243360.61210033804,0.0,243360.61210033804,0.0,0.0547910334550384
129,1k,16,TP_DRL,3,240,83,7,0,0,2548.718963737201,19.836880101871323,1217330.5936025511,238814.96690217577,0.0,238814.96690217577,0.0,0.0485049766153251
130,1k,16,TP_DRL,3,228,73,5,0,0,2548.718963737201,19.237419375973595,1237929.6003427156,238814.96690217577,0.0,238814.96690217577,0.0,0.0639587786897462
131,1k,16,TP_DRL,3,231,66,7,0,0,2548.718963737201,19.2668302424697,1239377.9686402176,238814.96690217577,0.0,238814.96690217577,0.0,0.0646880162006113
132,1k,16,TP_DRL,3,206,70,6,0,0,2597.2317426798336,18.851083615538368,1267641.527571651,243360.61428910043,0.0,243360.61428910043,0.0,0.0726795907497776
133,1k,16,TP_DRL,3,228,70,7,0,0,2597.231738844905,20.17455404224697,1255328.0605963487,243360.6139297677,0.0,243360.6139297677,0.0,0.0603059799770549
134,1k,16,TP_DRL,3,235,82,5,0,0,2548.718963737201,18.88232978836352,1218997.7230792718,238814.96690217577,0.0,238814.96690217577,0.0,0.0526259545105508
135,1k,16,TP_DRL,3,228,63,9,0,0,2548.718963737201,19.29488413665564,1244193.6784117846,238814.96690217577,0.0,238814.96690217577,0.0,0.0659905234647479
136,1k,16,TP_DRL,3,236,74,8,0,0,2548.718963737201,19.149109026529885,1224326.1134833572,238814.96690217577,0.0,238814.96690217577,0.0,0.0557320769734826
137,1k,16,TP_DRL,3,242,71,8,0,0,2544.568093430034,18.900073468199007,1218146.873711816,238426.0303543942,0.0,238426.0303543942,0.0,0.0560413629617099
138,1k,16,TP_DRL,3,237,77,6,0,0,2548.718963737201,18.73093995514419,1219923.378142515,238814.96690217577,0.0,238814.96690217577,0.0,0.0574799516991559
139,1k,16,TP_DRL,3,231,76,9,0,0,2597.231732240437,19.81922389747042,1241307.2871305833,243360.6133109289,0.0,243360.6133109289,0.0,0.0537820570787044
140,1k,16,TP_DRL,3,224,75,10,0,0,2548.718963737201,19.891680895003724,1239754.0805577654,238814.96690217577,0.0,238814.96690217577,0.0,0.0555519363055076
141,1k,16,TP_DRL,3,230,73,6,0,0,2597.231748799399,19.050573743288144,1241449.4660915183,243360.6148625037,0.0,243360.6148625037,0.0,0.0611575505824161
142,1k,16,TP_DRL,3,230,73,10,0,0,2548.718963737201,18.98942274985605,1228896.071676359,238814.96690217577,0.0,238814.96690217577,0.0,0.0567229724096219
143,1k,16,TP_DRL,3,231,77,8,0,0,2548.718963737201,18.6187011913956,1222534.5857526923,238814.96690217577,0.0,238814.96690217577,0.0,0.0574681388809493
144,1k,16,TP_DRL,3,235,65,6,0,0,2548.718963737201,18.217436608780687,1229473.446731592,238814.96690217577,0.0,238814.96690217577,0.0,0.0660261572736686
145,1k,16,TP_DRL,3,225,81,7,0,0,2548.718963737201,18.716250657385984,1226509.500278611,238814.96690217577,0.0,238814.96690217577,0.0,0.057008138992096
146,1k,16,TP_DRL,3,235,78,9,0,0,2597.2317446777256,18.841537063238725,1227862.722937951,243360.6144763029,0.0,243360.6144763029,0.0,0.0538227332669462
147,1k,16,TP_DRL,3,234,75,11,0,0,2548.718963737201,19.366704099124878,1223898.1504772608,238814.96690217577,0.0,238814.96690217577,0.0,0.0534939699238498
148,1k,16,TP_DRL,3,236,70,7,0,0,2544.568093430034,18.636473961033293,1224821.5836595988,238426.0303543942,0.0,238426.0303543942,0.0,0.0612831187817081
149,1k,16,TP_DRL,3,240,80,8,0,0,2597.231732240437,19.89355029196273,1227617.2969587797,243360.6133109289,0.0,243360.6133109289,0.0,0.0485417816360344
150,1k,16,TP_DRL,3,228,74,9,0,0,2597.2317193205768,19.16430602293028,1240251.9108574616,243360.61210033804,0.0,243360.61210033804,0.0,0.0571620332324812
151,1k,16,TP_DRL,3,228,74,8,0,0,2597.231732240437,19.691808197065143,1245422.961911998,243360.6133109289,0.0,243360.6133109289,0.0,0.058244406981468
152,1k,16,TP_DRL,3,223,62,7,0,0,2597.231732240437,19.46129468317123,1264023.3767231111,243360.6133109289,0.0,243360.6133109289,0.0,0.0697274347471217
153,1k,16,TP_DRL,3,242,75,9,0,0,2548.718963737201,19.535004711537667,1217840.50285509,238814.96690217577,0.0,238814.96690217577,0.0,0.0520540888376591
154,1k,16,TP_DRL,3,231,81,8,0,0,2548.718963737201,18.378628233037848,1215511.7210633752,238814.96690217577,0.0,238814.96690217577,0.0,0.0540666693881282
155,1k,16,TP_DRL,3,223,68,8,0,0,2548.718963737201,19.514739974923,1247727.0873402078,238814.96690217577,0.0,238814.96690217577,0.0,0.0634115023337042
156,1k,16,TP_DRL,3,233,66,9,0,0,2548.718963737201,18.90131249507901,1233088.7217074772,238814.96690217577,0.0,238814.96690217577,0.0,0.0621101954002594
157,1k,16,TP_DRL,3,249,70,7,0,0,2597.231732240437,19.613102165605884,1230242.6925921207,243360.6133109289,0.0,243360.6133109289,0.0,0.0536307220548126
158,1k,16,TP_DRL,3,233,71,10,0,0,2597.231732240437,18.85519094903324,1236624.6178807504,243360.6133109289,0.0,243360.6133109289,0.0,0.0568920207994629
159,1k,16,TP_DRL,3,213,66,10,0,0,2597.2317455332995,19.22813196545721,1264645.9249507177,243360.6145564702,0.0,243360.6145564702,0.0,0.0674364224515668
160,1k,16,TP_DRL,3,232,72,5,0,0,2548.718963737201,19.20467088364789,1234132.4599800364,238814.96690217577,0.0,238814.96690217577,0.0,0.0626740779190587
161,1k,16,TP_DRL,3,256,80,7,0,0,2597.231746444824,19.958585412816603,1213179.3483059146,243360.61464187995,0.0,243360.61464187995,0.0,0.042858578771084
