Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
74,1k,16,TP_DRL,3,263,83,7,0,0,2549.3856430146525,21.64355558139524,1195796.037374281,183623.866593601,61799.091384978405,245422.95797857945,0.5758651297032579,0.0426637498155193
75,1k,16,TP_DRL,3,275,86,9,0,0,2540.5818328858527,21.964488436348805,1176721.9967064653,183359.62614479,61146.12078807757,244505.7469328676,0.5543230308749857,0.0350619431348227
76,1k,16,TP_DRL,3,256,80,9,0,0,2597.8254997631907,22.11486273930368,1213386.4121214096,188135.7101019209,61835.78965377524,249971.49975569616,0.5467782555479951,0.0457137939570154
77,1k,16,TP_DRL,3,273,80,10,0,0,2549.3530500165384,20.24408532362139,1173525.4843036025,184198.4251830449,61139.99007848688,245338.4152615317,0.5709602783951025,0.041529727270014
78,1k,16,TP_DRL,3,254,78,4,0,0,2549.3398529635183,21.401448476336004,1211314.515989964,184059.7800745075,61310.790242045725,245370.57031655323,0.559797012231587,0.0548767918882723
79,1k,16,TP_DRL,3,265,77,7,0,0,2597.8451510320906,21.83189292329077,1209170.733382446,188698.1570835593,61222.84056717566,249920.99765073496,0.5609901567037237,0.0459360841169707
80,1k,16,TP_DRL,3,242,77,9,0,0,2549.318472478525,21.325927389671232,1218926.3293770333,183716.90526048883,61672.56094060363,245389.46620109247,0.5622022734136868,0.0538327000773352
81,1k,16,TP_DRL,3,252,73,11,0,0,2597.824830477655,22.763228214513624,1230923.361152545,188646.8527444516,61279.60635853816,249926.45910298973,0.5561541112068364,0.0476769520652876
82,1k,16,TP_DRL,3,257,89,12,0,0,2597.8807821061296,21.57735827351871,1197014.5686355091,188808.3795887665,61092.9407983612,249901.3203871277,0.5566858167165406,0.0369450684878595
83,1k,16,TP_DRL,3,252,82,11,0,0,2549.287226173981,20.914955501549965,1196431.3149018786,183913.36719802587,61520.534992132125,245433.902190158,0.5628577943499607,0.0449797594022214
84,1k,16,TP_DRL,3,234,81,7,0,0,2545.115860382485,21.27037772890983,1223452.3499716255,183946.7011835916,61013.5390605546,244960.2402441461,0.5628343362417129,0.0556520124033276
85,1k,16,TP_DRL,3,267,80,9,0,0,2549.35680148572,21.173650613218765,1188554.553605246,183850.92986012532,61528.303157600174,245379.23301772555,0.5706839170883913,0.0434755498593778
86,1k,16,TP_DRL,3,247,70,8,0,0,2549.317760709428,20.646273784403217,1215525.3889960777,184159.7348301077,61184.5115836756,245344.2464137833,0.5576877101559233,0.0597939355446877
87,1k,16,TP_DRL,3,263,75,9,0,0,2549.280900658994,21.23581703709784,1196457.6815991823,184245.98151175847,61129.38961256992,245375.3711243284,0.5567733686427279,0.0466905176509114
88,1k,16,TP_DRL,3,239,72,9,0,0,2597.83844513262,22.270286992902133,1244770.1655553272,187597.6342615821,62421.10168447444,250018.7359460565,0.5778168975975739,0.0554257193855268
89,1k,16,TP_DRL,3,253,88,11,0,0,2597.822330656028,20.459959513732525,1196091.9374086526,188853.6252858725,61074.93340939731,249928.55869526984,0.5593743711314986,0.0392763309324942
